inst#,actual,predicted,error,prediction
1,1:democrat,1:democrat,,0.98
2,1:democrat,1:democrat,,0.98
3,1:democrat,1:democrat,,0.9
4,1:democrat,1:democrat,,0.98
5,1:democrat,1:democrat,,0.98
6,1:democrat,1:democrat,,0.98
7,2:republican,2:republican,,1
8,2:republican,2:republican,,0.942
9,2:republican,2:republican,,0.947
10,1:democrat,1:democrat,,0.98
11,2:republican,2:republican,,1
12,2:republican,2:republican,,0.942
13,1:democrat,1:democrat,,0.98
14,1:democrat,1:democrat,,0.98
15,1:democrat,1:democrat,,0.98
16,2:republican,2:republican,,1
17,1:democrat,1:democrat,,0.98
18,2:republican,2:republican,,0.947
19,1:democrat,1:democrat,,0.98
20,2:republican,2:republican,,0.947
21,1:democrat,1:democrat,,0.98
22,2:republican,2:republican,,0.947
23,1:democrat,1:democrat,,0.98
24,1:democrat,1:democrat,,0.98
25,1:democrat,1:democrat,,0.98
26,2:republican,2:republican,,1
27,1:democrat,1:democrat,,0.98
28,2:republican,2:republican,,1
29,1:democrat,1:democrat,,0.98
30,1:democrat,1:democrat,,0.98
31,2:republican,2:republican,,1
32,1:democrat,1:democrat,,0.98
33,1:democrat,1:democrat,,0.98
34,1:democrat,1:democrat,,0.98
35,2:republican,2:republican,,0.947
36,2:republican,2:republican,,1
37,2:republican,2:republican,,1
38,2:republican,2:republican,,1
39,1:democrat,1:democrat,,0.98
40,1:democrat,1:democrat,,0.98
41,1:democrat,1:democrat,,0.98
42,1:democrat,1:democrat,,0.98
43,1:democrat,1:democrat,,0.98
44,1:democrat,1:democrat,,0.98
45,1:democrat,1:democrat,,0.98
46,1:democrat,1:democrat,,0.98
47,1:democrat,1:democrat,,0.98
48,1:democrat,1:democrat,,0.98
49,1:democrat,1:democrat,,0.98
50,2:republican,2:republican,,1
51,2:republican,2:republican,,1
52,1:democrat,1:democrat,,0.98
53,1:democrat,1:democrat,,0.98
54,2:republican,2:republican,,1
55,1:democrat,1:democrat,,0.98
56,1:democrat,1:democrat,,0.564
57,1:democrat,1:democrat,,0.98
58,1:democrat,1:democrat,,0.98
59,2:republican,2:republican,,1
60,2:republican,2:republican,,1
61,2:republican,2:republican,,0.947
62,1:democrat,2:republican,+,0.848
63,1:democrat,1:democrat,,0.98
64,1:democrat,1:democrat,,0.98
65,2:republican,2:republican,,1
66,1:democrat,1:democrat,,0.98
67,2:republican,2:republican,,1
68,1:democrat,1:democrat,,0.98
69,2:republican,2:republican,,1
70,2:republican,1:democrat,+,0.966
71,1:democrat,1:democrat,,0.98
72,2:republican,2:republican,,0.947
73,1:democrat,1:democrat,,0.98
74,2:republican,2:republican,,0.947
75,1:democrat,1:democrat,,0.98
76,1:democrat,2:republican,+,1
77,1:democrat,1:democrat,,0.98
78,1:democrat,1:democrat,,0.98
79,1:democrat,1:democrat,,0.98
80,1:democrat,1:democrat,,0.98
81,2:republican,2:republican,,1
82,1:democrat,1:democrat,,0.98
83,2:republican,2:republican,,1
84,2:republican,2:republican,,1
85,2:republican,2:republican,,1
86,1:democrat,1:democrat,,0.98
87,1:democrat,1:democrat,,0.98
88,1:democrat,1:democrat,,0.98
89,2:republican,2:republican,,1
90,1:democrat,1:democrat,,0.98
91,2:republican,1:democrat,+,0.98
92,1:democrat,1:democrat,,0.98
93,2:republican,2:republican,,1
94,1:democrat,1:democrat,,0.98
95,1:democrat,1:democrat,,0.98
96,1:democrat,1:democrat,,0.98
97,2:republican,2:republican,,1
98,1:democrat,1:democrat,,0.98
99,1:democrat,1:democrat,,0.98
100,1:democrat,1:democrat,,0.98
101,1:democrat,1:democrat,,0.98
102,1:democrat,1:democrat,,0.98
103,1:democrat,1:democrat,,0.98
104,1:democrat,1:democrat,,0.98
105,1:democrat,1:democrat,,0.545
106,2:republican,2:republican,,1
107,2:republican,2:republican,,1
108,2:republican,1:democrat,+,0.577
109,2:republican,2:republican,,1
110,2:republican,2:republican,,1
111,1:democrat,1:democrat,,0.98
112,1:democrat,2:republican,+,1
113,1:democrat,1:democrat,,0.98
114,2:republican,2:republican,,0.947
115,2:republican,2:republican,,1
116,2:republican,2:republican,,1
117,2:republican,2:republican,,0.942
118,1:democrat,1:democrat,,0.98
119,1:democrat,1:democrat,,0.98
120,2:republican,2:republican,,1
121,1:democrat,1:democrat,,0.98
122,2:republican,2:republican,,1
123,2:republican,2:republican,,1
124,1:democrat,1:democrat,,0.98
125,1:democrat,1:democrat,,0.98
126,1:democrat,1:democrat,,0.98
127,1:democrat,1:democrat,,0.98
128,1:democrat,1:democrat,,0.98
129,1:democrat,1:democrat,,0.98
130,1:democrat,1:democrat,,0.98
131,1:democrat,1:democrat,,0.98
132,1:democrat,1:democrat,,0.98
133,1:democrat,2:republican,+,1
134,2:republican,2:republican,,1
135,2:republican,2:republican,,1
136,2:republican,2:republican,,1
137,2:republican,2:republican,,1
138,1:democrat,1:democrat,,0.98
139,1:democrat,1:democrat,,0.98
140,2:republican,2:republican,,1
141,2:republican,2:republican,,1
142,2:republican,2:republican,,1
143,1:democrat,1:democrat,,0.98
144,1:democrat,1:democrat,,0.98
145,1:democrat,1:democrat,,0.98
146,1:democrat,1:democrat,,0.98
147,2:republican,1:democrat,+,0.966
148,1:democrat,1:democrat,,0.98
